Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x01_Male,1mm_x_1mm_solder_pad,-48.675,-60.555,-90,bottom
J2,Conn_01x01_Male,1mm_x_1mm_solder_pad,-49.885,-60.555,-90,bottom
J3,Conn_01x01_Male,1mm_x_1mm_solder_pad,-51.095,-60.555,-90,bottom
J4,Conn_01x01_Male,1mm_x_1mm_solder_pad,-52.305,-60.555,-90,bottom
J5,Conn_01x01_Male,1mm_x_1mm_solder_pad,-53.515,-60.555,-90,bottom
J6,Conn_01x01_Male,1mm_x_1mm_solder_pad,-54.725,-60.555,-90,bottom
J7,Conn_01x01_Male,1mm_x_1mm_solder_pad,-55.935,-60.555,-90,bottom
J8,Conn_01x01_Male,1mm_x_1mm_solder_pad,-57.144999,-60.555,-90,bottom
J9,Conn_01x01_Male,1mm_x_1mm_solder_pad,-58.355,-60.555,-90,bottom
J10,Conn_01x01_Male,1mm_x_1mm_solder_pad,-59.565,-60.555,-90,bottom
J11,Conn_01x01_Male,1mm_x_1mm_solder_pad,-60.775,-60.555,-90,bottom
J12,Conn_01x01_Male,1mm_x_1mm_solder_pad,-61.984999,-60.555,-90,bottom
J13,Conn_01x01_Male,1mm_x_1mm_solder_pad,-63.195,-60.555,-90,bottom
J14,Conn_01x01_Male,1mm_x_1mm_solder_pad,-64.405,-60.555,-90,bottom
J15,Conn_01x01_Male,1mm_x_1mm_solder_pad,-65.614999,-60.555,-90,bottom
J16,Conn_01x01_Male,1mm_x_1mm_solder_pad,-66.825,-60.555,-90,bottom
J17,Conn_01x01_Male,1mm_x_1mm_solder_pad,-68.035,-60.555,-90,bottom
J18,Conn_01x01_Male,1mm_x_1mm_solder_pad,-69.245,-60.555,-90,bottom
J19,Conn_01x01_Male,1mm_x_1mm_solder_pad,-70.455,-60.555,-90,bottom
J20,Conn_01x01_Male,1mm_x_1mm_solder_pad,-71.665,-60.555,-90,bottom
J21,Conn_01x01_Male,1mm_x_1mm_solder_pad,-72.875,-60.555,-90,bottom
J22,Conn_01x01_Male,1mm_x_1mm_solder_pad,-74.085,-60.555,-90,bottom
J23,Conn_01x01_Male,1mm_x_1mm_solder_pad,-75.294999,-60.555,-90,bottom
J24,Conn_01x01_Male,1mm_x_1mm_solder_pad,-76.505,-60.555,-90,bottom
J25,Conn_01x01_Male,1mm_x_1mm_solder_pad,-77.715,-60.555,-90,bottom
J26,Conn_01x01_Male,1mm_x_1mm_solder_pad,-78.925,-60.555,-90,bottom
J27,Conn_01x01_Male,1mm_x_1mm_solder_pad,-80.135,-60.555,-90,bottom
J28,Conn_01x01_Male,1mm_x_1mm_solder_pad,-81.345,-60.555,-90,bottom
J29,Conn_01x01_Male,1mm_x_1mm_solder_pad,-82.554999,-60.555,-90,bottom
J30,Conn_01x01_Male,1mm_x_1mm_solder_pad,-83.765,-60.555,-90,bottom
J31,Conn_01x01_Male,1mm_x_1mm_solder_pad,-84.975,-60.555,-90,bottom
J32,Conn_01x01_Male,1mm_x_1mm_solder_pad,-86.185,-60.555,-90,bottom
J33,Conn_01x01_Male,1mm_x_1mm_solder_pad,-87.395,-60.555,-90,bottom
J34,Conn_01x01_Male,1mm_x_1mm_solder_pad,-88.605,-60.555,-90,bottom
J35,Conn_01x01_Male,1mm_x_1mm_solder_pad,-88.605,-20.625,90,bottom
J36,Conn_01x01_Male,1mm_x_1mm_solder_pad,-87.395,-20.625,90,bottom
J37,Conn_01x01_Male,1mm_x_1mm_solder_pad,-86.185,-20.625,90,bottom
J38,Conn_01x01_Male,1mm_x_1mm_solder_pad,-84.975,-20.625,90,bottom
J39,Conn_01x01_Male,1mm_x_1mm_solder_pad,-83.765,-20.625,90,bottom
